GSK3B,13.14635,-0.2032669,7.261603,21.60143,8.480945,10.26587,10.5407,5.350676,-0.4296674,-5.268469,13.96053,4.595081,3.053837,3.452677,-13.05928,-4.540586,7.671472,5.562729,13.31408,1.32639,-6.366216,-3.432245,4.194977,-7.005416,5.689254,456.1761,3.739083,9.169191,175.5066,7.856086
RBL1,-6.031568,-7.716429,-0.2276776,1.008865,-8.082298,-2.884537,-5.397459,-3.518488,-4.648715,-3.006845,0.2496076,5.561372,-7.857911,-9.568328,7.259436,-10.62946,0.3391625,3.521651,3.738248,-1.499083,-6.354883,4.12644,-6.207503,-2.899095,35.50757,122.5554,43.9646,15.84121,201.6205,29.81175
RBL1,9.235601,-5.568414,4.662753,6.62361,7.354596,9.026456,0.9274781,-2.665189,5.502316,-3.823334,6.097323,-5.439594,-4.569362,-1.639668,-1.647661,1.649739,12.7425,14.12974,9.046441,-0.2594747,2.210586,3.732445,0.6965241,-3.28769,844.2604,116.9083,5.477329,19.16113,-1.585811,-1.6964
E2F4,1.763235,-4.206924,-3.151231,-12.07614,2.569247,-5.955637,-1.9134,-0.5345848,3.597896,-9.834013,-14.5745,-9.117731,-13.84264,-3.115456,-11.94212,2.076406,-0.3963539,-7.699404,1369.039,1337.716,1500.135,609.2734,519.0768,463.1647,1.95863,-4.630845,-4.573483,-4.095134,-2.691828,-4.014503
TFDP1,-1.438596,-6.723624,-20.20612,6.244887,-11.59932,-13.81929,-11.7952,-4.622227,-5.576775,-4.480544,1.947184,2.5469,-11.60655,-11.37956,-10.12336,13.63084,-9.223575,-9.124239,-8.6637,-4.886854,2.438087,-5.592233,-8.410508,-4.862745,-5.843773,-1.994275,-8.226923,9.873635,-4.271598,2.006566
TFDP1,-1.320487,13.3573,6.356215,-8.809702,-4.068186,12.35152,-3.2169,-0.09755067,-3.362384,0.3085465,10.9529,-2.353623,4.217467,-2.460299,-3.022519,-6.932556,-5.573829,-7.520786,-1.834813,8.110333,-6.584849,-3.372063,-4.529562,-4.186899,47.63558,275.9416,46.08623,4.529267,-13.48697,-0.2198916
TGFBI,7.449765,3.50298,-0.3193715,-0.6399363,-9.829503,-0.3243362,-2.920812,-0.155839,2.00405,23.92784,4.140902,0.1486153,7.037492,17.35316,4.205704,-10.89689,1.327098,4.215933,-5.140948,14.16589,-4.610642,1.198914,-2.114992,2.781148,505.0741,170.5696,23.71591,288.6562,48.11914,33.91203
SMAD2,99.01065,117.5136,129.1532,157.5199,115.1755,103.9409,506.3486,406.2814,477.4951,342.743,320.421,284.6863,312.0979,316.5671,304.0167,259.6498,273.0967,251.1061,178.0786,126.7515,159.2513,158.3715,136.2935,129.914,53.06197,0.9819056,2.664068,3.200873,11.06878,1.560586
SMAD2,5.064875,18.03873,8.494018,9.209648,5.727362,-6.581454,11.08782,-0.2389406,1.499364,6.331182,9.036253,3.778641,4.997761,29.15069,19.76021,10.77354,35.43158,-2.734658,6.426336,22.24067,15.72065,15.07206,9.393817,-0.5778043,-2.672048,44.03227,61.57501,985.1362,144.8051,73.69135
SMAD2,1251.811,1266.594,1258.409,1832.446,2115.258,1840.633,2840.495,1945.242,2199.751,2505.927,2789.434,2595.811,816.0618,905.2874,801.7563,953.1318,974.9626,898.3201,624.7313,725.5912,751.5425,573.494,650.1072,686.5336,-1.260122,-4.563424,-12.93333,-0.9883422,0.2789902,10.22612
SMAD3,-1.405329,28.32295,6.718149,7.265889,-4.482611,-0.3293818,0.3343977,3.283659,-0.7273,6.770826,-9.405278,-13.16282,-7.023333,1.325619,2.641138,-5.892313,0.9966838,-8.718814,-4.96201,-16.7737,0.07439554,0.1270612,-0.6115603,-6.837567,11.55039,-0.6448522,3.514359,3.154514,30.52743,6.909569
SMAD4,692.9021,718.4733,686.3106,633.3156,804.1243,599.2926,1827.728,1994.195,1842.58,2235.215,2640.21,2615.035,143.6499,140.7531,132.0949,520.4872,520.4872,554.1207,674.8154,734.2867,740.7761,2034.692,2142.246,2003.99,-10.49488,-17.17167,-1.033254,-11.40822,-3.569966,-11.76169
c-MYC,561.4354,432.0513,424.7052,955.6158,704.6678,813.0524,374.5551,592.7723,564.1306,244.0813,339.0307,313.2183,703.5837,706.8165,644.566,490.1429,680.4156,396.4573,246.3093,721.5304,323.9396,995.1,805.7315,510.2147,-3.841395,-12.65572,-4.620065,23.70419,-11.22751,9.41998
c-MYC,2.764128,-5.664406,1.358181,10.66242,-0.3180659,17.37853,-4.268427,-4.183757,12.79209,4.163021,-0.02757285,-0.3002527,6.907457,-3.02948,-2.665189,15.54796,27.7272,8.19901,2.383542,7.308696,-9.930069,-12.57415,0.7806743,7.460607,300.5684,253.6205,24.37159,26.62919,-1.123485,15.23575
ZBTB17,4.481309,19.18332,13.60741,15.63888,7.135355,3.637839,40.96899,22.00598,17.06553,26.35825,0.8789528,29.14549,27.9147,14.61617,17.5009,13.81313,17.01553,11.4506,21.47121,20.86093,24.51011,13.76972,12.50355,18.63202,6.419841,1.510813,3.411251,315.5309,36.05412,17.72264
KITLG,3.667814,-3.395605,2.952027,8.369961,7.647008,0.9316056,1.711588,-9.122456,4.783362,-9.441163,6.567907,6.117896,-6.168378,-12.07933,3.055243,-9.299847,-9.275589,-3.984955,-2.308815,-5.163479,-3.530629,2.301582,-6.034587,-0.9839935,-12.78859,0.5646195,11.26409,-0.5771626,10.68591,103.544
KITLG,-7.255662,-0.4874285,-2.863492,-10.0933,-5.237522,-1.673165,-5.805027,-7.44651,-10.46497,-5.059615,-8.958565,-0.8021919,-6.05691,3.111335,-15.65176,1.510813,-5.229992,-1.120005,1.731685,-3.24345,11.2174,10.42999,1.212455,-0.8812904,-3.63934,-1.531493,-0.534084,-10.69523,5.055204,-3.281555
KITLG,-6.585623,-13.18988,-10.32734,5.471283,-7.044135,-12.58529,-6.545006,-13.66842,-6.947927,-12.57415,-11.37365,-6.665255,-7.982142,-17.5596,-12.22482,-4.997102,-3.190704,-18.75222,-9.528926,-6.963495,-10.88497,-4.161438,-7.729349,-6.816308,-11.24498,-4.278091,-5.936395,-6.15934,-3.433382,-5.942361
